ALLOCATED MEMORY UNITS         FREE MEMORY UNITS              JOBS IN JOB QUEUE              JOBS IN BLOCKED QUEUE          JOBS IN READY QUEUE            JOBS DELIVERED                 
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
183                            329                            0                              0                              4                              0                              
179                            333                            0                              0                              3                              1                              
179                            333                            0                              0                              3                              1                              
179                            333                            0                              0                              3                              1                              
159                            353                            0                              0                              2                              2                              
159                            353                            0                              0                              2                              2                              
159                            353                            0                              2                              0                              2                              
159                            353                            0                              0                              2                              2                              
142                            370                            0                              0                              1                              3                              
470                            42                             1                              0                              6                              4                              
470                            42                             1                              0                              6                              4                              
470                            42                             1                              0                              6                              4                              
470                            42                             1                              0                              6                              4                              
470                            42                             1                              0                              6                              4                              
470                            42                             1                              0                              6                              4                              
470                            42                             1                              0                              6                              4                              
473                            39                             1                              0                              6                              5                              
473                            39                             1                              0                              6                              5                              
468                            44                             1                              1                              5                              6                              
468                            44                             1                              0                              6                              6                              
460                            52                             1                              0                              6                              7                              
460                            52                             1                              2                              4                              7                              
460                            52                             1                              0                              6                              7                              
460                            52                             1                              0                              6                              7                              
460                            52                             1                              0                              6                              7                              
460                            52                             1                              0                              6                              7                              
449                            63                             1                              0                              6                              8                              
504                            8                              1                              1                              9                              9                              
504                            8                              1                              2                              8                              9                              
504                            8                              1                              0                              10                             9                              
504                            8                              1                              2                              8                              9                              
440                            72                             1                              0                              9                              10                             
511                            1                              1                              0                              11                             12                             
511                            1                              1                              0                              11                             12                             
497                            15                             1                              0                              10                             13                             
497                            15                             1                              0                              10                             13                             
497                            15                             1                              2                              8                              13                             
487                            25                             1                              1                              8                              14                             
477                            35                             1                              0                              8                              16                             
477                            35                             1                              0                              8                              16                             
477                            35                             1                              0                              8                              16                             
457                            55                             1                              0                              7                              17                             
457                            55                             1                              0                              7                              17                             
491                            21                             1                              1                              5                              19                             
491                            21                             1                              1                              5                              19                             
491                            21                             1                              0                              6                              19                             
484                            28                             1                              0                              9                              20                             
484                            28                             1                              2                              7                              20                             
484                            28                             1                              0                              9                              20                             
474                            38                             1                              2                              6                              21                             
413                            99                             1                              1                              5                              23                             
504                            8                              1                              2                              4                              24                             
493                            19                             1                              0                              7                              25                             
493                            19                             1                              1                              6                              25                             
493                            19                             1                              0                              7                              25                             
483                            29                             1                              1                              5                              26                             
511                            1                              1                              0                              10                             27                             
511                            1                              1                              0                              10                             27                             
511                            1                              1                              0                              10                             27                             
495                            17                             1                              1                              9                              28                             
495                            17                             1                              1                              9                              28                             
481                            31                             1                              1                              8                              29                             
481                            31                             1                              2                              7                              29                             
481                            31                             1                              1                              8                              31                             
481                            31                             1                              0                              9                              31                             
471                            41                             1                              0                              8                              32                             
441                            71                             1                              3                              4                              33                             
380                            132                            0                              1                              4                              36                             
380                            132                            0                              1                              4                              36                             
275                            237                            0                              0                              4                              37                             
498                            14                             1                              0                              7                              38                             
498                            14                             1                              0                              7                              38                             
488                            24                             1                              0                              6                              39                             
488                            24                             1                              0                              6                              39                             
482                            30                             1                              0                              5                              41                             
343                            169                            0                              1                              5                              42                             
343                            169                            0                              1                              5                              42                             
343                            169                            0                              3                              3                              42                             
329                            183                            0                              2                              3                              43                             
504                            8                              1                              0                              10                             44                             
504                            8                              1                              0                              10                             44                             
504                            8                              1                              1                              9                              44                             
504                            8                              1                              0                              10                             45                             
494                            18                             1                              1                              8                              46                             
494                            18                             1                              0                              9                              46                             
508                            4                              1                              0                              10                             48                             
508                            4                              1                              2                              8                              48                             
508                            4                              1                              2                              8                              48                             
465                            47                             0                              1                              7                              51                             
435                            77                             0                              1                              6                              52                             
421                            91                             0                              0                              6                              53                             
309                            203                            0                              1                              4                              54                             
295                            217                            0                              0                              4                              55                             
295                            217                            0                              2                              2                              55                             
295                            217                            0                              0                              4                              55                             
295                            217                            0                              1                              3                              55                             
231                            281                            0                              0                              3                              56                             
231                            281                            0                              0                              3                              56                             
167                            345                            0                              1                              1                              57                             
97                             415                            0                              0                              1                              58                             
471                            41                             0                              1                              10                             59                             
471                            41                             0                              0                              11                             59                             
471                            41                             0                              2                              9                              59                             
435                            77                             1                              0                              14                             60                             
435                            77                             1                              0                              14                             60                             
435                            77                             1                              1                              13                             60                             
453                            59                             1                              0                              14                             62                             
453                            59                             1                              2                              12                             62                             
372                            140                            1                              1                              13                             64                             
392                            120                            1                              0                              14                             65                             
392                            120                            1                              1                              13                             65                             
408                            104                            1                              0                              14                             66                             
408                            104                            1                              2                              12                             66                             
408                            104                            1                              0                              14                             67                             
408                            104                            1                              1                              13                             68                             
408                            104                            1                              2                              12                             68                             
441                            71                             1                              0                              14                             72                             
441                            71                             1                              1                              13                             72                             
421                            91                             1                              1                              13                             73                             
417                            95                             1                              1                              13                             74                             
415                            97                             1                              1                              13                             75                             
415                            97                             1                              1                              13                             75                             
415                            97                             1                              1                              13                             77                             
425                            87                             1                              0                              13                             79                             
415                            97                             1                              1                              11                             80                             
490                            22                             1                              2                              10                             81                             
490                            22                             1                              1                              11                             81                             
507                            5                              1                              0                              14                             83                             
507                            5                              1                              2                              12                             83                             
507                            5                              1                              0                              14                             83                             
411                            101                            1                              0                              14                             86                             
411                            101                            1                              2                              12                             86                             
429                            83                             1                              0                              14                             87                             
433                            79                             1                              0                              14                             89                             
433                            79                             1                              2                              12                             89                             
419                            93                             1                              0                              14                             91                             
398                            114                            1                              1                              13                             92                             
398                            114                            1                              1                              13                             93                             
398                            114                            1                              1                              13                             94                             
394                            118                            1                              1                              13                             95                             
393                            119                            1                              0                              14                             96                             
393                            119                            1                              0                              14                             96                             
392                            120                            1                              2                              12                             97                             
393                            119                            1                              0                              14                             98                             
392                            120                            1                              1                              13                             99                             
392                            120                            1                              2                              12                             99                             
392                            120                            1                              1                              13                             99                             
483                            29                             0                              2                              12                             100                            
378                            134                            0                              0                              13                             101                            
306                            206                            0                              0                              10                             104                            
306                            206                            0                              1                              9                              104                            
306                            206                            0                              1                              9                              104                            
306                            206                            0                              0                              10                             104                            
275                            237                            0                              1                              8                              105                            
275                            237                            0                              0                              9                              105                            
255                            257                            0                              0                              7                              107                            
126                            386                            0                              0                              3                              111                            
96                             416                            0                              1                              1                              112                            
96                             416                            0                              2                              0                              112                            
96                             416                            0                              2                              0                              112                            
96                             416                            0                              1                              1                              112                            
40                             472                            0                              0                              1                              113                            
30                             482                            0                              0                              0                              114                            
171                            341                            0                              0                              5                              114                            
171                            341                            0                              1                              4                              114                            
161                            351                            0                              1                              3                              115                            
130                            382                            0                              1                              2                              116                            
76                             436                            0                              0                              2                              117                            
427                            85                             1                              1                              9                              118                            
427                            85                             1                              1                              9                              118                            
427                            85                             1                              2                              8                              118                            
427                            85                             1                              0                              10                             118                            
427                            85                             1                              2                              8                              118                            
427                            85                             1                              1                              9                              118                            
427                            85                             1                              0                              10                             118                            
501                            11                             0                              1                              12                             120                            
501                            11                             0                              0                              13                             120                            
501                            11                             0                              2                              11                             120                            
508                            4                              1                              0                              13                             121                            
508                            4                              1                              1                              12                             121                            
488                            24                             0                              0                              14                             123                            
478                            34                             0                              1                              12                             124                            
373                            139                            0                              0                              12                             125                            
320                            192                            1                              1                              13                             126                            
320                            192                            1                              1                              13                             126                            
298                            214                            0                              0                              14                             127                            
298                            214                            0                              2                              12                             127                            
298                            214                            0                              0                              14                             127                            
285                            227                            0                              0                              13                             128                            
378                            134                            1                              1                              13                             130                            
378                            134                            1                              2                              12                             130                            
378                            134                            1                              2                              12                             131                            
379                            133                            1                              1                              13                             132                            
379                            133                            1                              1                              13                             133                            
470                            42                             1                              2                              12                             134                            
414                            98                             1                              0                              14                             136                            
414                            98                             1                              0                              14                             136                            
397                            115                            1                              1                              13                             137                            
383                            129                            1                              2                              12                             138                            
383                            129                            1                              1                              13                             138                            
397                            115                            1                              2                              12                             140                            
400                            112                            1                              0                              14                             141                            
400                            112                            1                              0                              14                             141                            
482                            30                             1                              1                              13                             143                            
482                            30                             1                              1                              13                             143                            
480                            32                             1                              0                              14                             144                            
473                            39                             0                              0                              14                             145                            
473                            39                             0                              0                              14                             145                            
473                            39                             0                              2                              12                             145                            
434                            78                             1                              1                              13                             147                            
434                            78                             1                              1                              13                             147                            
434                            78                             1                              0                              14                             147                            
434                            78                             1                              2                              12                             147                            
416                            96                             1                              1                              13                             148                            
420                            92                             1                              1                              13                             149                            
420                            92                             1                              1                              13                             149                            
431                            81                             1                              0                              14                             150                            
